model,target,metric,aggregation_unit,n_repeats,mean,std,se,ci95_low,ci95_high
Hybride 2 branches MLP + XGBoost Optuna,Liquid_Yield_pct,mae,répétition OOF complète,5,2.4660153881642897,0.018883535884290207,0.0084449739785659,2.4425683814979777,2.4894623948306016
Hybride 2 branches MLP + XGBoost Optuna,Liquid_Yield_pct,rmse,répétition OOF complète,5,3.082297463020522,0.026917253698347184,0.012037761807422383,3.0488752781727673,3.1157196478682767
Hybride 2 branches MLP + XGBoost Optuna,Liquid_Yield_pct,r2,répétition OOF complète,5,0.15059401256675234,0.01488450379694535,0.006656552460264705,0.13211246007095806,0.16907556506254662
Hybride 2 branches MLP + XGBoost Optuna,Solid_Yield_pct,mae,répétition OOF complète,5,2.9047909471407696,0.016129585359928374,0.007213369862737051,2.884763421693392,2.924818472588147
Hybride 2 branches MLP + XGBoost Optuna,Solid_Yield_pct,rmse,répétition OOF complète,5,3.6484270682554945,0.02093547625610061,0.009362629609994752,3.6224322411030445,3.6744218954079444
Hybride 2 branches MLP + XGBoost Optuna,Solid_Yield_pct,r2,répétition OOF complète,5,0.23232557173944063,0.008820024040291578,0.003944434663454862,0.22137406542531887,0.24327707805356238
MLP Optuna,Br2_pct,mae,répétition OOF complète,5,0.02061215734170346,0.00019862058108033304,8.882582420522666e-05,0.020365537316873697,0.020858777366533222
MLP Optuna,Br2_pct,rmse,répétition OOF complète,5,0.026535202297239442,0.000273603022267853,0.0001223589913280616,0.026195479274689706,0.02687492531978918
MLP Optuna,Br2_pct,r2,répétition OOF complète,5,0.8553429027540048,0.0029935253633894404,0.0013387452409817098,0.8516259500825744,0.8590598554254353
MLP Optuna,Cl2_pct,mae,répétition OOF complète,5,0.0137740601604829,0.00014279010390731304,6.385767577020205e-05,0.013596762829161415,0.013951357491804386
MLP Optuna,Cl2_pct,rmse,répétition OOF complète,5,0.01787209089405298,0.00011968562042363544,5.35250366392972e-05,0.01772348156807027,0.01802070022003569
MLP Optuna,Cl2_pct,r2,répétition OOF complète,5,0.8215806893863483,0.0023984111983047503,0.0010726020954812299,0.8186026685485246,0.824558710224172
