model,input,input_value,normalized_level,Solid_Yield_pct,Liquid_Yield_pct,Gas_Yield_pct,HBr_pct,Br2_pct,HCl_pct,Cl2_pct,HF_pct,Toxicity_Index_pct,Valuable_Yield_pct
Sélection automatique par sortie,Temperature_C,544.6306333333333,0.9666666666666667,22.93380757675745,57.19713559618119,19.869056827061364,3.2034777864824555,0.21701098963610183,0.4137650328427278,0.10843855298701086,0.03280183711553553,3.9754941990638315,77.06619242324255
Sélection automatique par sortie,Temperature_C,551.156,1.0,22.60660098927238,57.41237161760326,19.981027393124357,3.3022181783422946,0.2236920607148517,0.4196182388348717,0.11261659457852695,0.03391490103205454,4.092059973502599,77.39339901072762
Sélection automatique par sortie,Temps_reaction_min,11.316500000000001,0.0,26.770850277871002,54.49752525656486,18.731624465564117,1.9319299203462448,0.1346333896743736,0.2427832255389667,0.05496715544795169,0.02132783627921721,2.3856415272867544,73.22914972212898
Sélection automatique par sortie,Temps_reaction_min,11.961983333333334,0.03333333333333333,26.81029542450912,54.49398048303743,18.69572409245344,1.93079363716289,0.13413919666179153,0.24303541400558257,0.055110457546479884,0.02133622398499257,2.3844149293617365,73.18970457549088
Sélection automatique par sortie,Temps_reaction_min,12.607466666666667,0.06666666666666667,26.846969026742837,54.490611097712154,18.662419875545,1.9301271654428427,0.13371246631870706,0.2433392544542432,0.055243750090083074,0.021351304742283216,2.383773941048159,73.15303097325716
Sélection automatique par sortie,Temps_reaction_min,13.25295,0.1,26.881125400741816,54.48740106526967,18.631473533988505,1.929886941368798,0.13334694309020417,0.24438288055172278,0.05536796122644626,0.021305162159821676,2.384289888396993,73.11887459925818
Sélection automatique par sortie,Temps_reaction_min,13.898433333333333,0.13333333333333333,26.91298534119374,54.48433646505689,18.602678193749362,1.9300351928501454,0.13303720308550093,0.2454324353798246,0.05548389570778416,0.02125688833337401,2.385245615356629,73.08701465880625
Sélection automatique par sortie,Temps_reaction_min,14.543916666666668,0.16666666666666666,26.942741779176824,54.481405134068325,18.575853086754844,1.9305389562773585,0.1327785128886026,0.24648741586349404,0.05559225583935294,0.021210326869089604,2.386607467737898,73.05725822082317
Sélection automatique par sortie,Temps_reaction_min,15.189400000000001,0.2,26.970564293099713,54.47859638231213,18.550839324588146,1.9313692934625066,0.13256671711472034,0.24754738036176158,0.05569365816290209,0.021131965866213943,2.388309014968105,73.02943570690027
Sélection automatique par sortie,Temps_reaction_min,15.834883333333334,0.23333333333333334,26.99660274106673,54.475900763622434,18.52749649531083,1.9325006617647167,0.1323981479633132,0.24861193905489465,0.055788646876448716,0.021072189695937306,2.3903715853553105,73.00339725893326
Sélection automatique par sortie,Temps_reaction_min,16.48036666666667,0.26666666666666666,27.02099021247914,54.47330988943283,18.505699898088032,1.9339104027905503,0.1322695517979178,0.24968074614118407,0.05587770472775729,0.021107287163492854,2.3928456926209023,72.97900978752085
Sélection automatique par sortie,Temps_reaction_min,17.12585,0.3,27.04384544657266,54.470816276189055,18.485338277238302,1.9355783238520796,0.13217802904553874,0.2507156659191507,0.05596126193157285,0.021114697222767532,2.395547977971109,72.95615455342735
Sélection automatique par sortie,Temps_reaction_min,17.77133333333333,0.3333333333333333,27.065274829488374,54.468413219357465,18.466311951154157,1.9374863526944772,0.13212098461718888,0.2507707364265376,0.0560397035258126,0.021156294226144245,2.3975740714901606,72.93472517051163
Sélection automatique par sortie,Temps_reaction_min,18.416816666666666,0.36666666666666664,27.085374055120614,54.466094688649704,18.44853125622969,1.9396182506205875,0.13209608671395548,0.2507909068229576,0.05611337548358231,0.021183088385538024,2.399801708026621,72.91462594487939
Sélection automatique par sortie,Temps_reaction_min,19.0623,0.4,27.104229515514994,54.46385524031223,18.431915244172767,1.941959372547028,0.13210123237220925,0.250778460206312,0.05618258982529432,0.021207476902406038,2.4022291318532494,72.895770484485
Sélection automatique par sortie,Temps_reaction_min,19.70778333333333,0.43333333333333335,27.12191947204393,54.46168994324839,18.416390584707674,1.9444964650696352,0.13213451846677202,0.25073546271842045,0.056247628920978475,0.02122961216343728,2.4048436873392434,72.87808052795606
Sélection automatique par sortie,Temps_reaction_min,20.353266666666666,0.4666666666666667,27.138515047605864,54.459594316432735,18.4018906359614,1.9472174955343435,0.1321942171663161,0.2506637901920471,0.056308749132007715,0.02126277880953503,2.4076470308342497,72.86148495239414
Sélection automatique par sortie,Temps_reaction_min,20.99875,0.5,27.154081071725358,54.45756427560639,18.38835465266825,1.9501115065705308,0.13227875504505143,0.25056515082845077,0.05636618391033384,0.02128081024713709,2.4106024066015035,72.84591892827464
Sélection automatique par sortie,Temps_reaction_min,21.644233333333332,0.5333333333333333,27.168676803994273,54.455596087647876,18.375727108357854,1.9531684916665812,0.132386695215974,0.25187948845177643,0.05642014644940878,0.021392186575205717,2.415247008358946,72.83132319600573
Sélection automatique par sortie,Temps_reaction_min,22.289716666666664,0.5666666666666667,27.18235655630165,54.453686331329244,18.36395711236911,1.9563792882375461,0.13251672197589556,0.254257920353512,0.056470831962428594,0.021600360910267766,2.4212251234396502,72.81764344369836
Sélection automatique par sortie,Temps_reaction_min,22.9352,0.6,27.195170230397455,54.45183186341345,18.352997906189085,1.9597354853144935,0.13266762755007766,0.25408722841417664,0.05651841964905544,0.021812592392042342,2.4248213533198455,72.80482976960253
Sélection automatique par sortie,Temps_reaction_min,23.580683333333333,0.6333333333333333,27.20716378426149,54.45002978924314,18.34280642649538,1.963229343520066,0.1328383006011062,0.25389507576849807,0.05656307440037605,0.022028665066745872,2.4285544593567923,72.79283621573852
Sélection automatique par sortie,Temps_reaction_min,24.226166666666664,0.6666666666666666,27.219904786687145,54.45132837928225,18.328766834030603,1.9668537254187284,0.1330277162275213,0.25368257510826986,0.05660494828282259,0.022248379776728076,2.4324173448140702,72.78009521331285
Sélection automatique par sortie,Temps_reaction_min,24.87165,0.7,27.232755849837034,54.45436837918403,18.312875770978938,1.9706020346683852,0.13323492722628216,0.2524137125226816,0.05664418183457613,0.022471552462604412,2.4353664087145295,72.76724415016297
Sélection automatique par sortie,Temps_reaction_min,25.517133333333334,0.7333333333333333,27.24494937384043,54.457538783961155,18.29751184219841,1.9744681626715763,0.13345905643213476,0.25216352481011917,0.05668090520218815,0.022698012674650943,2.4394696617906693,72.75505062615957
Sélection automatique par sortie,Temps_reaction_min,26.162616666666665,0.7666666666666666,27.25651687315304,54.460833221911535,18.28264990493542,1.9784464416436853,0.13369928997843208,0.2518958533021378,0.056715239140484486,0.022927602263254847,2.4436844263279944,72.74348312684695
